"","RK","NAME","TEAM","SALARY","POSITION"
"380","380","Reggie Bullock Jr.","Houston Rockets",2019706,"SF"
"381","381","Boban Marjanovic","Houston Rockets",2019706,"C"
"382","382","Dario Saric","Golden State Warriors",2019706,"PF"
"383","383","Chimezie Metu","Detroit Pistons",2019706,"PF"
"384","384","Ryan Arcidiacono","New York Knicks",2019706,"G"
"385","385","Jalen Pickett","Denver Nuggets",2019706,"G"
"386","386","Justin Holiday","Denver Nuggets",2019706,"SF"
"387","387","DeAndre Jordan","Denver Nuggets",2019706,"C"
"388","388","Derrick Jones Jr.","Dallas Mavericks",2019706,"SF"
"389","389","Markieff Morris","Dallas Mavericks",2019706,"PF"
"390","390","Terry Taylor","Chicago Bulls",2019706,"F"
"391","391","Cody Zeller","New Orleans Pelicans",2019706,"C"
"392","392","Svi Mykhailiuk","Boston Celtics",2019706,"SG"
"393","393","Wesley Matthews","Atlanta Hawks",2019706,"SG"
"394","394","Jaylin Williams","Oklahoma City Thunder",2e+06,"F"
"395","395","Caleb Houstan","Orlando Magic",2e+06,"G"
"396","396","Garrison Mathews","Atlanta Hawks",2e+06,"SG"
"397","397","Anthony Gill","Washington Wizards",1997239,"PF"
"398","398","R.J. Hampton","Miami Heat",1997238,"G"
"399","399","Isaiah Joe","Oklahoma City Thunder",1997238,"SG"
"400","400","Sam Merrill","Cleveland Cavaliers",1997238,"SG"
"401","401","GG Jackson","Memphis Grizzlies",1991428,"F"
"402","402","Duop Reath","Portland Trail Blazers",1951220,"C"
"403","403","Lamar Stevens","Memphis Grizzlies",1930681,"PF"
"404","404","KJ Martin","Philadelphia 76ers",1930681,"F"
"405","405","KJ Martin","LA Clippers",1930681,"F"
"406","406","Naji Marshall","New Orleans Pelicans",1930681,"SF"
"407","407","Xavier Tillman","Boston Celtics",1930681,"F"
"408","408","Kessler Edwards","Sacramento Kings",1927896,"SF"
"409","409","Jericho Sims","New York Knicks",1927896,"C"
"410","410","Joe Wieskamp","Dallas Mavericks",1927896,"SF"
"411","411","Sam Hauser","Boston Celtics",1927896,"SF"
"412","412","Carlik Jones","Chicago Bulls",1922896,"G"
"413","413","Haywood Highsmith","Miami Heat",1902137,"F"
"414","414","Kevin Knox II","Detroit Pistons",1845593,"SF"
"415","415","JT Thor","Charlotte Hornets",1836096,"F"
"416","416","Isaiah Todd","Memphis Grizzlies",1836096,"PF"
"417","417","Isaiah Livers","Detroit Pistons",1836096,"PF"
"418","418","Aaron Wiggins","Oklahoma City Thunder",1836096,"SG"
"419","419","Miles McBride","New York Knicks",1836096,"PG"
"420","420","Brandon Boston Jr.","LA Clippers",1836096,"SG"
"421","421","Marko Simonovic","Chicago Bulls",1836096,"C"
"422","422","Jose Alvarado","New Orleans Pelicans",1836096,"PG"
"423","423","Jack White","Memphis Grizzlies",1801769,"F"
"424","424","AJ Green","Milwaukee Bucks",1801769,"G"
"425","425","Orlando Robinson","Miami Heat",1801769,"C"
"426","426","Dru Smith","Miami Heat",1801769,"G"
"427","427","E.J. Liddell","New Orleans Pelicans",1801769,"F"
"428","428","Leonard Miller","Minnesota Timberwolves",1800000,"F"
"429","429","Joshua Primo","LA Clippers",1764341,"G"
"430","430","Daniel Theis","LA Clippers",1741126,"C"
"431","431","Bryce McGowens","Charlotte Hornets",1719865,"G"
"432","432","Xavier Cooks","Washington Wizards",1719864,"G"
"433","433","Jabari Walker","Portland Trail Blazers",1719864,"F"
"434","434","Josh Minott","Minnesota Timberwolves",1719864,"F"
"435","435","Tyrese Martin","Minnesota Timberwolves",1719864,"G"
